CCND2	0.000141879
CD44	0.000069022
EPHA2	0.000201467
FGFR4	0.000281938
RAF1	0.000315222
STK11	0.000363142
ABCB6	0.000015863
SDCBP	0.003489779
TSG101	0.000444552
ABCB8	0.000005198
SAT1	0.000263596
ABCC1	0.000014289
AZGP1	0.000021940
NPM1	0.000328564
TRAF3	0.000135767
ABCC2	0.000026746
MCPH1	0.000266312
NFKB1	0.000223511
SHANK3	0.001024768
ABCC4	0.000006545
MPP1	0.000143385
ABCC5	0.000018914
AK2	0.000059320
RBP5	0.000010782
SERPINA3	0.000053792
SMC2	0.000044127
CRYL1	0.000002693
FURIN	0.000022293
ABCC9	0.000013501
EEF1G	0.000381441
ABCD1	0.000016266
ABCD2	0.000005611
ABCD3	0.000025076
PEX19	0.000115834
RPSA	0.000122617
SLC27A2	0.000002656
LACC1	0.000008281
PABIR3	0.000044522
PSMA1	0.000530071
TUFT1	0.000028685
ABCD4	0.000025234
DLEU1	0.000052229
LMBRD1	0.000009739
SARAF	0.000030248
ABCF1	0.000028514
ENG	0.000071315
ITGB3BP	0.000221348
PCSK4	0.000008321
ABCF2	0.000019758
ANKRD28	0.000529838
HADHA	0.000055870
ABCF3	0.000051315
ABCG1	0.000012115
LAMP2	0.000656571
PRPF40A	0.000954527
SH3GLB1	0.000443595
ABCG2	0.000002505
PIM1	0.000047236
ABCG4	0.000020184
GPR152	0.000499833
PLEKHF2	0.000985869
SGTB	0.000316451
TMEM50A	0.000031579
WFS1	0.001357432
ZDHHC17	0.001246841
ABCG5	0.000008266
NCK1	0.000620186
ABCG8	0.000025520
AGPAT2	0.000028089
ANG	0.000029354
LMNB1	0.000101746
MAL2	0.000133061
ABHD1	0.000002860
KASH5	0.000356375
ABHD11	0.000061488
ANKRD11	0.000242343
DOK6	0.000049571
GCA	0.000044604
HR	0.000098531
MDFI	0.001230928
MGAT5B	0.000290866
MORN3	0.000182292
PRKAB2	0.000557208
PROP1	0.000178482
PRR35	0.000220127
RUSC1	0.000254917
USHBP1	0.000683813
VENTX	0.000267012
VPS37C	0.000294361
WWOX	0.000504609
YTHDF1	0.000048529
ZIC1	0.000313981
ABHD12B	0.000008260
ABHD15	0.000012689
VWC2	0.000149852
ABHD16A	0.000201589
GPRC5C	0.000007493
LTA	0.000027899
MT-ND3	0.000010409
MT-ND4	0.000029086
PRAF2	0.000067718
PTGS2	0.000011345
SEC22B	0.000332231
SERF1B	0.000038201
TM4SF19-DYNLT2B	0.000089267
UPF1	0.000064621
ABHD17A	0.000044143
EHMT2	0.000151344
GOLGA2	0.001993125
HPGDS	0.000021418
KRTAP5-9	0.000524756
PNMA1	0.000493444
RGS20	0.000227322
TNIP1	0.000270428
PEX26	0.000118137
SNCA	0.000551073
ABHD4	0.000035602
AURKAIP1	0.000012211
BNIP2	0.000168086
COL4A5	0.000100119
CSNK2B	0.000596778
DERL1	0.000083726
DGAT2L6	0.000112705
HTATIP2	0.000065514
IGFBP5	0.000198978
INSIG2	0.000115626
