A1BG	ABCC6
A1BG	CDKN1A
A1BG	GRB7
A1BG	PRDX4
A1BG	SETD7
A1BG	SMN2
A1BG	TK1
A1CF	ACTMAP
A1CF	C9orf24
A1CF	CAVIN2
A1CF	CYSRT1
A1CF	FHL3
A1CF	HSPB2
A1CF	HSPB2-C11orf52
A1CF	METTL27
A1CF	PLEKHG4
A1CF	REL
A1CF	RIMBP3C
A2M	ABHD17C
A2M	ACTB
A2M	ANXA7
A2M	AP1M2
A2M	AP2B1
A2M	ATF7IP
A2M	ATP1A1
A2M	ATP5IF1
A2M	BRK1
A2M	CDC37
A2M	CDK2AP2
A2M	CDKN1A
A2M	CLEC2B
A2M	COPS3
A2M	CSF2
A2M	CYFIP1
A2M	CYP2C18
A2M	DAZ3
A2M	DDX20
A2M	DNAJB1
A2M	DNTTIP1
A2M	ECSIT
A2M	EGLN2
A2M	ELAVL3
A2M	ENO2
A2M	ERAL1
A2M	EVI5L
A2M	EXOSC1
A2M	FARSA
A2M	FBXL12
A2M	FBXW4
A2M	FIS1
A2M	FOXA2
A2M	FOXR1
A2M	FZD4
A2M	H2AZ1
A2M	H3C12
A2M	HMOX2
A2M	HOXC4
A2M	HSPB2
A2M	IGSF8
A2M	IQSEC1
A2M	KAT5
A2M	KRTAP10-7
A2M	KRTAP8-1
A2M	LHX6
A2M	LNX1
A2M	LONP1
A2M	LYN
A2M	MAST1
A2M	MGARP
A2M	MLST8
A2M	MNDA
A2M	NCDN
A2M	NUDT21
A2M	OTUB1
A2M	OTUD7B
A2M	PARK7
A2M	PIK3R1
A2M	PRDM1
A2M	RAB38
A2M	RAB3A
A2M	RAD23A
A2M	RETN
A2M	RHEB
A2M	RNF112
A2M	RNF183
A2M	RNF32
A2M	RPP14
A2M	S100B
A2M	SPATA12
A2M	STAMBPL1
A2M	STUB1
A2M	STX11
A2M	SWSAP1
A2M	SYK
A2M	TEAD1
A2M	TGIF1
A2M	TGM2
A2M	TK1
A2M	TNFRSF14
A2M	TRIM69
A2M	TSC22D1
A2M	TUBA1B
A2M	TWIST2
A2M	TYRO3
A2M	UFD1
A2M	UTP14A
A2M	VPS29
A2M	ZNF366
AAAS	NUDC
AAAS	NUDCD3
AAAS	NUP133
AAAS	REL
AACS	CMTM5
AAGAB	AP1G1
AAGAB	AP1S3
AAGAB	AP2A2
AAGAB	HEATR1
AAK1	ATP13A2
AAMDC	ACY3
